CustomerID,Age,Gender,MaritalStatus,Income,Region,PolicyType,PolicyStartYear,PremiumMonthly,ClaimsMade,ClaimsRejected,LastClaimAmount,RenewalStatus,CustomerSatisfaction,NumberOfInquiriesLastYear,HouseType,LifeInsuranceType,HealthInsurancePlan,CustomerFeedbackScore,DigitalPlatformUsage,PolicyUpgradesLastYear,FraudulentClaims,PolicyDurationMonths,CoverDetails,TimeToResolutionDays,ClaimReasons,CommunicationMeans,CustomerServiceFrequency,ServiceNature,PolicyDiscounts,PremiumPaymentFrequency,MissedPayments,VehicleType
143,61,F,Married,42041,Kisumu,Health,2021,171,4,1,1600,Renewed,2,0,No Housing Insurance,Term,Premium,6,High,1,1,295,Comprehensive,22,Floods,Text,9,Update,26,Quarterly,5,Mercedes
83,30,F,Widowed,68812,Nakuru,Livestock,2019,165,0,2,2500,Not Renewed,1,1,No Housing Insurance,No Life Insurance,Basic,7,Medium,2,0,363,Standard,2,Maturity,Text,6,Update,16,Monthly,5,Mercedes
184,35,M,Married,62866,Eldoret,Education,2018,190,4,0,600,Not Renewed,4,1,Rental,Term,Premium,6,High,0,0,82,Premium,27,Drought,Email,2,Complaint,27,Semi-Annual,5,Toyota Harrier
167,35,M,Single,60873,Garissa,Health,2021,190,4,1,400,Renewed,2,2,Bungalow,No Life Insurance,Premium,5,High,0,1,175,Premium,4,Death,Phone Call,2,Query,26,Annually,5,Mercedes
95,45,M,Divorced,69869,Kitui,Property,2015,181,0,2,300,Not Renewed,5,2,Apartment,Term,Basic,2,Low,1,0,332,Basic,15,Maturity,Skype,1,Update,15,Semi-Annual,5,Subaru Forester
48,62,F,Married,56368,Nairobi,Agricultural,2018,109,1,0,2200,Renewed,2,1,Apartment,Term,Basic,7,High,1,1,354,Basic,23,Death,In-Person,9,Feedback,23,Semi-Annual,5,Nissan X-Trail
115,64,M,Widowed,66855,Turkana,Education,2020,102,2,2,200,Renewed,4,1,Rental,No Life Insurance,Premium,9,Low,2,0,249,Comprehensive,4,Drought,In-Person,3,Complaint,1,Weekly,3,Toyota Land Cruiser V8
173,21,M,Single,38182,Turkana,Education,2018,130,4,0,1500,Not Renewed,2,1,Bungalow,No Life Insurance,Basic,1,High,2,0,240,Standard,19,Maturity,Skype,1,Update,11,Quarterly,3,Mazda CX-5
50,41,F,Widowed,38417,Nakuru,Motor,2017,148,4,1,1400,Not Renewed,4,1,No Housing Insurance,Whole,No Health Insurance,10,Low,2,1,43,Standard,22,Natural Disaster,Text,4,Feedback,16,Semi-Annual,5,Toyota Land Cruiser V8
108,48,M,Single,53282,Nairobi,Education,2017,171,2,2,800,Not Renewed,4,0,Rental,No Life Insurance,Basic,10,Low,1,0,288,Premium,28,Floods,Text,5,Update,20,Weekly,5,Toyota Harrier
194,62,F,Divorced,31231,Eldoret,Education,2021,176,2,1,1400,Renewed,2,0,Rental,Whole,Premium,7,Low,2,1,97,Premium,5,Maturity,Email,4,Update,11,Semi-Annual,5,Toyota Harrier
50,38,F,Divorced,79544,Busia,Property,2019,190,3,1,1400,Renewed,5,3,Rental,Whole,Basic,4,Low,1,0,316,Basic,8,Theft,In-Person,1,Query,22,Monthly,5,Toyota Land Cruiser V8
144,22,F,Widowed,38946,Kiambu,Agricultural,2020,197,2,0,2700,Not Renewed,3,3,Bungalow,Term,Premium,4,High,2,1,223,Comprehensive,25,Natural Disaster,In-Person,8,Complaint,2,Weekly,5,Toyota Land Cruiser V8
130,40,M,Married,65078,Nairobi,Agricultural,2020,109,3,1,3000,Not Renewed,2,1,Apartment,Whole,Premium,5,High,2,1,62,Standard,21,Theft,Phone Call,2,Feedback,23,Semi-Annual,4,Toyota Harrier
83,43,M,Divorced,78761,Kisumu,Agricultural,2021,125,1,2,3000,Not Renewed,4,2,Rental,Whole,No Health Insurance,3,Medium,2,0,443,Basic,22,Accident,Text,7,Query,12,Weekly,5,Mazda CX-5
50,58,F,Married,53217,Turkana,Education,2015,172,4,0,600,Renewed,1,0,Rental,Whole,Premium,2,Medium,0,0,244,Basic,7,Maturity,Phone Call,7,Complaint,27,Semi-Annual,5,Mazda CX-5
130,55,F,Widowed,34574,Narok,Education,2016,128,1,2,1800,Renewed,5,1,Bungalow,Whole,No Health Insurance,10,High,0,0,168,Basic,10,Floods,Text,9,Query,30,Quarterly,5,Toyota Harrier
194,27,M,Single,34671,Nakuru,Property,2021,153,1,0,1200,Not Renewed,5,3,Bungalow,No Life Insurance,Premium,4,Low,2,1,18,Premium,3,Floods,Skype,3,Query,28,Weekly,5,Toyota Harrier
11,58,F,Married,33080,Kisumu,Agricultural,2015,168,3,2,200,Renewed,1,1,No Housing Insurance,Term,Basic,9,Medium,2,0,305,Premium,4,Maturity,Phone Call,5,Feedback,16,Semi-Annual,5,Mercedes
43,29,F,Single,35004,Nairobi,Livestock,2015,186,3,1,2900,Renewed,4,3,No Housing Insurance,Term,No Health Insurance,2,Medium,2,1,112,Standard,4,Floods,Text,5,Query,7,Semi-Annual,5,Toyota Harrier
136,27,F,Divorced,43847,Narok,Agricultural,2015,162,4,2,2000,Not Renewed,3,3,Bungalow,Whole,Basic,7,High,2,0,173,Comprehensive,2,Maturity,Text,8,Feedback,14,Semi-Annual,5,Mazda CX-5
84,66,F,Widowed,44544,Nairobi,Agricultural,2019,134,2,2,2800,Not Renewed,1,1,Bungalow,Term,Basic,5,Medium,1,1,390,Comprehensive,5,Drought,In-Person,9,Feedback,2,Annually,5,Mercedes
24,33,M,Married,56913,Kiambu,Agricultural,2016,109,1,0,1000,Renewed,1,1,Apartment,No Life Insurance,Premium,7,Medium,0,1,475,Premium,17,Theft,In-Person,0,Feedback,23,Weekly,5,Toyota Land Cruiser V8
49,41,F,Single,34678,Turkana,Education,2021,123,1,0,2300,Not Renewed,3,0,Bungalow,Term,Premium,9,High,1,1,164,Premium,23,Accident,Phone Call,10,Complaint,28,Weekly,5,Mazda CX-5
13,27,F,Married,54919,Nakuru,Property,2021,153,1,2,2600,Renewed,2,1,Bungalow,Term,No Health Insurance,4,Medium,2,0,236,Standard,3,Accident,Text,4,Complaint,7,Semi-Annual,5,Mazda CX-5
194,18,M,Single,47208,Kisumu,Livestock,2018,189,4,2,2500,Not Renewed,2,2,No Housing Insurance,Term,Basic,9,Medium,1,0,75,Standard,23,Drought,Text,5,Query,24,Annually,5,Nissan X-Trail
140,21,M,Married,72639,Nairobi,Agricultural,2017,180,2,1,1300,Not Renewed,2,0,Apartment,Term,Premium,7,Medium,2,1,407,Comprehensive,19,Theft,Email,1,Query,22,Weekly,5,Nissan X-Trail
36,41,M,Divorced,45098,Turkana,Property,2017,150,2,2,1200,Renewed,4,1,Rental,No Life Insurance,Premium,6,Medium,0,0,349,Premium,24,Drought,Phone Call,2,Complaint,25,Semi-Annual,1,Mazda CX-5
180,57,M,Divorced,33310,Kitui,Agricultural,2018,108,2,0,1600,Not Renewed,3,3,Bungalow,No Life Insurance,Premium,9,Medium,1,1,51,Comprehensive,6,Theft,Phone Call,3,Update,28,Weekly,5,Mazda CX-5
